x,y
0.15,3.52
0.1492873859106233,3.485570386308271
0.14305750019908545,3.1956982769371116
0.13909890491116533,2.8993091119767636
0.18393021597647993,2.7327144174132303
0.27332603293568075,2.5987553604603097
0.3994483123358899,2.5002392295817257
0.560492770426723,2.443312399673351
0.7359083266479262,2.4432627058503487
0.9432987460631065,2.499649530651145
1.133433353098772,2.495132561586612
1.4280154927162705,2.4378410146267404
1.7529837743342358,2.379840427971433
2.074968655349783,2.3223609613145664
2.4087825862322156,2.2627564121221457
2.725498720570553,2.2058254453951
2.8985734289694527,2.1220772659952027
3.0056775995150886,2.010753444453525
3.1745533966360346,1.7806092310105992
3.3761185383977788,1.515483798064548
3.5752821198323717,1.2535778558098607
3.666087713886585,1.07533630278143
3.7381702435721347,0.8373412262167519
3.831134607813068,0.5373811928750805
3.844869406434672,0.35143539113254674
3.8147018925053136,0.09244302038485946
3.7716843336129475,-0.17414283139624134
3.70252698209929,-0.3042055900974417
3.5831111465446925,-0.42106844155318024
3.433110187999455,-0.4914962978052825
3.2643101489973576,-0.5064303806052675
3.1002973925293924,-0.4657830806284997
2.9580469857624943,-0.374136084183341
2.8435606131463884,-0.23053059567447598
2.653649672977922,0.03653141422323277
2.4722339953174775,0.2880947807632615
2.2685744518024675,0.5704854624163401
2.099678159572974,0.751859524298743
1.8896154055016043,0.873744610223342
1.6197939961100845,1.0384155893656615
1.101075797786025,1.450363475743511
1.0552786575397115,1.582698387446598
0.9724738312028295,1.7211534911618613
0.8384692346856951,1.8173931025385257
0.6905852017771946,1.8626362794866957
0.527826218668116,1.8573488747943674
0.31790313599908493,1.807211325848344
0.015414498707700463,1.7444791742536692
-0.30673800453532774,1.6776552271872365
-0.6435567105345613,1.6074565204959979
-0.8139912840550458,1.5353667262190922
-0.9336176044089713,1.4253304759624192
-1.015112780323387,1.2797785438907705
-1.0470886175664706,1.112291930485426
-1.070213384118557,0.8328994553999711
-1.104620765041911,0.4814625275666974
-1.136601057710645,0.154900575378805
-1.1683879465724911,-0.16964812383073255
-1.1994745120723433,-0.487215945941341
-1.228421788621492,-0.8046592350972607
-1.1947684944798864,-0.9809856130052701
-1.106685122190456,-1.1256462767344653
-0.9692012791843958,-1.2373563336317654
-0.7970384238690842,-1.2956749928813494
-0.5026400210679638,-1.3652123818391788
-0.20157432551669174,-1.4396545633510591
0.037057032264472205,-1.4748579293990167
0.29488474151664645,-1.4764452821826644
0.46480828547604813,-1.4386818511702462
0.6056606807141223,-1.3513416965349887
0.7122430133562611,-1.2204044161977232
0.7731615128805113,-1.0468506403068683
0.768782112807174,-0.8670065371030269
0.7049157550513161,-0.629914996530248
0.6189918295541254,-0.28321906899031124
0.5325302871185926,0.0653670023485917
0.4534355066875636,0.38372545443652445
0.37422227870482083,0.7020450510119741
0.30024512069413267,0.9989847661165331
0.24628244097774712,1.2138222551313915
0.24080501945421398,1.2344048277871909
